id,category,priority,status,status_reason,platform,product_found,codename,submitted_date,title,hsd_link
14019696451,Confirmed Silicon,p4-low,complete,complete.workaround,Birch Stream Platform,Beechnut City,GNR,06/22/2023,"[Cluster][FLEX GNR_SP A2][RPP] McBank 0x1 class FATAL and class CORRECTED during Sandstone (Sandstone-Combo)",https://hsdes.intel.com/appstore/article/#/14019696451
14019324090,Confirmed Silicon,p2-high,complete,complete.product_changed,Birch Stream Platform,Beechnut City,SRF,05/10/2023,"[SRF A0][RAS][VIS-1] Page fault observed & CPUs MCE rendezvouz timeout while exercising MCA Recovery flow",https://hsdes.intel.com/appstore/article/#/14019324090
14019309763,Confirmed Silicon,p4-low,complete,complete.product_changed,Eagle Stream EMR SP,Archer City,EMR,05/08/2023,"[Cluster][FLEX EMR A0][RPP][Mca] McBankErrorHandler Skt 0x1 McBank 0xA class CORRECTED during burnin sandstone rf warm",https://hsdes.intel.com/appstore/article/#/14019309763
14019168990,Confirmed Silicon,p2-high,complete,complete.product_changed,Birch Stream Platform,Avenue City,GNR,04/18/2023,"[Cluster][GNR AP-SP A1-A2][2S/4S][MASTER] Core 3strike error while running sandstone 140 reg_conflicts_fp16_div_nans",https://hsdes.intel.com/appstore/article/#/14019168990
14019137156,Confirmed Silicon,p2-high,complete,complete.product_changed,Birch Stream Platform,Beechnut City,SRF,04/14/2023,"[SRF A0 PO][RAS][VIS-1] Exercising Sandstone with poison error injection resulting in ROB timeout on few CMT modules",https://hsdes.intel.com/appstore/article/#/14019137156
14018729146,Confirmed Silicon,p2-high,complete,complete.product_changed,Birch Stream Platform,Avenue City,GNR,02/21/2023,"[Cluster][GNR A1 PO][X1] IOSF error BUS 0x8a DEV 0x0 FUNC 0x2",https://hsdes.intel.com/appstore/article/#/14018729146
14018614514,Confirmed Silicon,p1-showstopper,complete,complete.product_changed,Birch Stream Platform,Avenue City,GNR,02/06/2023,"[Cluster][GNR A1 PO][X1] ml2_cr_mc3_status = 0xb20000000000040e Error type 6 failed in OS IDLE / Running Sandstone",https://hsdes.intel.com/appstore/article/#/14018614514
14017887131,Confirmed Silicon,p2-high,complete,complete.product_changed,Eagle Stream EMR SP,Archer City,EMR,11/02/2022,"[Cluster][GDC EMR-A0] Core 3-strike while running Sandstone-ifs",https://hsdes.intel.com/appstore/article/#/14017887131
22015416586,Confirmed Silicon,p4-low,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,SPR,06/27/2022,"[Cluster][GDC SPR E3][RPP] UC LL Detected Control Error from M3UPI Socket 1 MCE 5 during povray/burnin-cold/warm",https://hsdes.intel.com/appstore/article/#/22015416586
14016590406,Confirmed Silicon,p4-low,complete,complete,Eagle Stream SPR SP,Archer City,SPR,04/26/2022,"[Cluster][FLEX SPR-HBM A1][Multiple nodes] Dbl_iErr + 3Strike + UC Phy Detected Drift Buffer Alarm while running TSL/Sandstone",https://hsdes.intel.com/appstore/article/#/14016590406
14016417265,Confirmed Silicon,p1-showstopper,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,SPR,04/04/2022,"[Cluster][SPR E3][Wave2] TME_CMI_UFL_ERR while running Sandstone-Warm/IMunch",https://hsdes.intel.com/appstore/article/#/14016417265
14016376372,Confirmed Silicon,p4-low,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,SPR,03/29/2022,"[EGS SPR-E0][Cluster][RPP] UPI CRC Errors UPI LL Rx detected CRC error successful LLR without Phy Reinit during sandstone stress",https://hsdes.intel.com/appstore/article/#/14016376372
14015961568,Confirmed Silicon,p4-low,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,SPR,01/31/2022,"[Cluster][GDC SPR E0][RPP][Mca] IFU PRF parity error socket0.cpu.core13 during sandstone",https://hsdes.intel.com/appstore/article/#/14015961568
16015535552,Confirmed Silicon,p2-high,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,SPR,01/10/2022,"EGS SPR-E0 [RP][HSIO] SUT crash and reset with UPI Phy Drift UC",https://hsdes.intel.com/appstore/article/#/16015535552
14015800984,Confirmed Silicon,p2-high,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,SPR,01/05/2022,"[Cluster][GDC SPR D0-E0] UPI Bank5 Unmerged UPI UC LL Rx Parameter Exception Socket_1 during burnin/Cold_Reset",https://hsdes.intel.com/appstore/article/#/14015800984
14015797263,Confirmed Silicon,p4-low,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,SPR,01/05/2022,"[Cluster][OPUS SPR E0][RPP] IFU DSB Data parity error Socket 0 Core 8",https://hsdes.intel.com/appstore/article/#/14015797263
14015703844,Confirmed Silicon,p2-high,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,SPR,12/13/2021,"[Cluster][GDC SPR D0/E0] MCA_DISPATCHER_RUN_BUSY_TIMEOUT - Sandstone",https://hsdes.intel.com/appstore/article/#/14015703844
22014056631,Confirmed Silicon,p1-showstopper,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,SPR,10/26/2021,"Mixer core 3-strike with sandstone tsx x bit_test, and DFV",https://hsdes.intel.com/appstore/article/#/22014056631
14015357362,Confirmed Silicon,p3-medium,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,SPR,10/20/2021,"[Cluster][GDC SPR D0-E0] DISPATCHER_RUN_BUSY_TIMEOUT during sandstone release - cold reset 0x41",https://hsdes.intel.com/appstore/article/#/14015357362
14015266727,Confirmed Silicon,p3-medium,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,SPR,10/07/2021,"[Cluster][OPUS SPR D0][Multiple Nodes] Watchdog Timer (3-strike timeout) during Sandstone-chaos in TSX test",https://hsdes.intel.com/appstore/article/#/14015266727
14015263050,Confirmed Silicon,p2-high,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,SPR,10/07/2021,"[EGS SPR-D0][Cluster][RPP] DINO/HCA TOR TO while running Sandstone/Povray + Cold cycle",https://hsdes.intel.com/appstore/article/#/14015263050
14015196045,Confirmed Silicon,p1-showstopper,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,SPR,09/28/2021,"[Cluster][GDC SPR D0] UBOX POISON error while running Sandstone within TDX Guest with WW35 MVP stack",https://hsdes.intel.com/appstore/article/#/14015196045
14015143476,Confirmed Silicon,p2-high,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,SPR,09/21/2021,"[Cluster GDC][EGS SPR D0] MDF Parity Error seen during IDLE/ive-povray with ucode 0x2c0",https://hsdes.intel.com/appstore/article/#/14015143476
14015110021,Confirmed Silicon,p4-low,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,SPR,09/15/2021,"[EGS SPR-D0][RPP] 3Strike error running Sandstone - r13s04/r01s10",https://hsdes.intel.com/appstore/article/#/14015110021
14015032086,Confirmed Silicon,p2-high,complete,complete.product_changed,Eagle Stream SPR SP,Archer City,SPR,09/02/2021,"[SPR][RAS][Cluster] AMX tileloadd x Poison tests cause CPU shutdowns",https://hsdes.intel.com/appstore/article/#/14015032086
